web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.019", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.018", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.019", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:00+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.021", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:01+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:01+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:01+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "230", "request_time": "0.018", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:03+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "226", "request_time": "0.015", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:03+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "198", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
web-1  | "time": "2026-09-25T22:59:03+00:00", "remote_addr": "172.18.0.1", "remote_user": "-", "body_bytes_sent": "215", "request_time": "0.017", "status": "200", "request": "POST /ajax.php HTTP/1.1", "request_method": "POST", "http_referrer": "http://localhost:8080/index.php?m=joborders&a=add", "http_user_agent": "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) HeadlessChrome/141.0.7390.37 Safari/537.36"
